TCO_BTC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1101,34906,18138,14048,13892,21524,24517,30220,36520,18538,24648,24814,23279
1102,86896,51010,36949,37833,54709,56737,67897,89902,45106,63536,62523,45730
1103,58893,27797,10656,8608,21843,24799,38056,61535,20887,32431,27725,16617
1104,70564,59285,54371,55079,63201,61127,62604,67594,52413,61850,63441,51836
1105,452,431,445,431,455,494,488,438,407,449,457,363
1106,29441,17195,12543,14970,28397,28103,31538,46308,19304,30347,22896,14138
1201,198091,105991,64243,75029,112625,108220,133378,118571,97598,138199,131038,78058
1202,14175,5884,3396,2523,3496,3406,4433,5304,2718,3909,3416,2216
1203,479123,279715,155090,177399,249873,258443,256274,256534,190659,258957,267798,172635
1204,594940,332997,172076,240210,331228,335221,373435,345326,300969,345790,364376,248950
1205,13610,9224,10446,13587,21695,17582,18933,25113,14915,22995,17351,10993
1206,1467704,1177433,956973,1036792,1190266,1296967,1333991,1260258,1069577,1262523,1309899,1014592
1207,2281615,2127222,1753029,1372286,1564710,1756018,1738342,1787231,1647935,1533648,1744776,1712489
1208,1511085,1212768,1000245,1092823,1270649,1377067,1423212,1325707,1119754,1335220,1406426,1080103
1301,16914,13837,13802,14554,16978,17297,17722,19149,16345,18751,19125,16203
1302,811,570,411,336,524,509,643,604,504,446,250,83
2101,5789363,4834212,4429633,5000243,5531741,5251109,5692470,5572901,4638905,5144068,5017417,3754292
2102,418290,338870,314846,374662,432067,397492,410663,415722,367009,423540,394970,311131
2103,768385,681912,640200,711549,735354,699603,753473,759009,679121,733740,721849,622316
2104,379342,300481,257759,304116,354171,333770,362706,349861,272106,339223,312105,204580
2105,53775,38261,26002,33796,41706,36193,41915,37690,22787,33813,37636,23502
2106,1213163,970756,1056388,1082565,1123322,1168457,1135436,1170298,1017833,1080585,1009345,932037
2107,132730,121136,117039,118107,126105,109023,119819,133852,109979,105856,111653,118698
2108,5236302,4377779,4112387,4575861,4968789,4683996,4966931,5096460,4385502,4654699,4517355,3806936
2201,3817700,3224608,3138807,3602028,4100072,4198998,4308431,4207590,3558316,4104288,3669746,2572105
2202,2240165,2058802,2203945,2265257,2188188,2006896,2182401,2215265,2116074,2104739,2011183,2015044
2203,6122,5048,5777,6254,7041,6323,6828,7110,8096,7344,7401,10239
2301,173292,144916,133807,145316,159713,153684,168903,154370,117567,154348,137047,63367
2302,25333,21722,17951,17660,21207,17895,20998,16181,7485,14823,18503,2904
2303,214546,184126,171239,188521,213330,211468,227758,212645,156264,197499,170467,77569
2304,4,2,6,5,,,,,,,,
2305,876,854,636,497,361,432,604,470,147,437,517,42
2306,6594,4374,1314,1091,1408,716,1149,1615,183,1490,1999,19
2307,84,62,,12,9,2,2,19,1,17,21,
2308,16,11,7,8,9,6,13,10,7,14,5,
2309,238,224,185,165,145,157,185,136,43,122,144,17
2310,58485,47652,38550,37767,34727,35057,43861,35213,17599,32322,40673,6319
2401,78751,62738,73303,76171,67536,57260,62662,64807,82597,71149,68519,75739
2402,945435,842139,1020996,986183,855861,739407,830248,863708,988109,806202,881557,1008796
2403,275446,187958,240531,250273,235926,192219,204845,215923,280505,248666,249813,260735
2404,23304,19795,18900,20730,21378,20013,21764,19753,21265,20084,19095,19433
2405,30648,12711,14664,14538,18273,12572,13932,13139,21310,16487,13892,12272
2406,1347,1210,1111,1321,1528,1395,1440,1414,1463,1566,1530,1349
2407,746953,663629,741485,802828,849488,898998,970677,1059278,1012180,927113,852821,820610
2408,693501,614257,777209,828849,784254,693705,724770,740613,935131,811218,824972,870406
3101,4259044,2721066,2334945,3210549,4240655,4170122,3852036,3630287,3283619,3992919,3908452,3034195
3102,5188687,3991897,4296136,4421604,4909948,5124120,4884867,4988103,4469234,4651504,4432943,4337066
3103,15540,11502,20742,22498,23395,21449,23493,22990,18508,19633,20037,17755
3104,10234226,9865937,10963056,10449216,9524313,9332799,9998886,10585981,10459081,9582405,9302497,9723125
3105,7785556,7085872,7355715,7444236,7931402,8822371,9042141,9106385,8425007,8665460,8208863,7344479
3106,652968,647916,697503,730378,789823,789711,789257,773059,784418,798936,757405,802698
3107,883549,846112,1065457,999401,920707,858082,910273,1035013,1002044,860190,868268,885300
3108,119314,46076,17156,14696,25535,31802,31420,36592,25758,37583,43891,27795
3109,2007,1817,1295,1149,1364,1473,1812,1224,1366,1421,1394,993
3110,28349,12923,3828,4366,4102,5239,4442,3872,4273,3894,3580,2683
3112,46506,23158,19508,24487,40672,35474,34603,50040,27667,35998,31740,19980
3113,50372,30674,41611,59361,82499,65111,55467,47646,53384,80424,57185,37115
3114,5562,4318,3492,4359,5103,4674,5458,4828,3620,4053,4319,3258
3115,10757,9343,10322,10927,11129,10794,10943,10683,11400,10534,10334,10178
3201,281935,245191,250355,281972,274498,263893,289808,297033,338218,307974,298281,308449
3202,7949,6420,6620,7047,7884,8035,8073,7852,7236,7771,7517,6161
3203,40488,41622,44672,45051,46870,46065,44855,35871,36680,39607,37563,38453
3301,1882265,2067078,2379662,2287618,2215934,2294194,2221746,2120932,2142359,2103091,2154962,2340912
3302,30444,34616,44921,40190,36545,42066,38966,40870,40996,39245,40027,33445
3303,385157,394573,465892,430366,401893,420439,435116,400801,419509,421663,427494,431426
3304,52439,55880,59844,49812,49530,50453,50618,47172,56979,50836,48393,47712
3305,14259,13813,13720,13954,13233,11958,13199,11001,12068,11345,10516,10494
3306,6834825,7729717,8983881,8025821,8476317,8980021,9216854,9924386,10082447,10026919,10477156,12102286
3307,3890596,3686502,3698127,3736492,3945691,4001524,4248010,4218398,4264791,4314137,4228436,4292745
3308,199003,208971,191295,180881,158156,135482,143505,162286,185920,182851,206221,270184
3309,2518929,2845321,3298810,3165063,3226683,3357346,3489505,3471067,3235829,3105277,3417334,3735236
3310,104,123,55,18,13,1,,1,,1,26,120
3311,697956,688597,771726,760804,823022,932936,956929,808855,819242,863302,851226,825293
4100,66135,78898,126104,164735,185261,190737,167647,161818,169211,186581,157110,98771
4101,94608,94222,112366,114819,124416,120242,126395,126086,109718,130827,113600,77358
4102,60591,38607,20971,24053,34455,33959,39137,35592,20457,32616,30478,15013
4103,45450,35356,30922,31551,35741,31273,32422,32593,17893,28596,25339,9666
4104,13954,7128,1767,2983,5755,6470,8227,9325,4061,6770,6033,2682
4105,6159,2490,101,490,1213,1191,1006,1460,799,1942,2150,793
4106,181,208,383,438,435,529,576,461,507,493,384,267
4107,57596,52839,51658,51056,53424,48944,51957,49760,29593,45439,42027,15816
4108,254,170,113,157,218,173,143,139,81,130,92,35
4109,98537,49103,23058,31389,52622,49323,58458,63604,31173,50059,41931,19106
4201,96358,76595,51909,56081,68289,55891,64590,50557,17058,60144,64503,11017
4202,1569,1166,1089,1150,1094,824,995,854,643,628,680,424
4203,504101,410566,325018,294658,322205,288347,313005,252508,119560,249906,254409,203317
4204,51,53,10,17,19,20,25,22,19,32,29,19
4205,275633,58171,38988,52088,90673,69903,90999,121771,41832,99447,98019,28070
4301,22964,4265,3227,4919,13151,12080,11856,18357,6293,15851,13473,5507
4302,461184,164951,42321,20260,35821,75895,119010,193148,61706,100776,78208,30135
4303,15,16,7,22,19,33,22,26,16,70,90,8
4304,5669,2703,2458,3483,5735,4735,5997,6616,3686,6696,5427,2276
4305,4451,1757,707,725,2872,1600,1902,4136,1057,2332,2103,834
4401,78971,75904,88986,61477,76929,77455,83933,65827,67986,75254,77453,72520
4402,95809,83147,90578,92240,91889,92399,97713,101613,96646,97755,97195,93884
4403,11218,4742,2985,3191,7221,6465,7263,11544,4727,10009,10521,4608
4404,117,102,99,104,101,101,111,134,111,122,93,85
4405,1073,966,962,933,939,927,932,905,763,930,895,812
4406,9658,7041,6450,8257,11851,10593,11314,11240,8262,10937,10907,6359
4407,2865,1883,1775,2291,2387,2439,2243,2139,2334,2765,2357,2575
4408,2597,2120,2031,2368,2734,2812,2895,2641,2551,2609,2775,3066
4409,2859,2337,1773,2002,2420,2353,2406,2288,2237,2502,2493,2217
4410,2974,2158,1974,2155,2278,2322,2151,1908,1932,2262,2190,2069
4411,111211,82659,85066,116727,173086,151361,126066,108503,102531,147542,125583,89468
4412,12876,13686,16394,18643,21742,22332,22489,22650,18135,22989,20831,12843
4413,87,61,123,138,122,123,117,91,124,123,83,52
4414,14877,13223,21021,32094,46235,40504,40152,40574,45621,57132,35124,23981
4415,46977,37855,37519,39856,46010,43321,46031,48223,44125,46522,46095,41333
4416,,,,,,,,2,6,3,1,4
4501,273013,235000,235097,256405,283083,304257,271620,238727,251604,254459,247334,255723
4502,39085,37236,38398,41056,41099,45837,40279,33850,39917,38272,37595,40617
4503,381920,282855,329101,311176,294191,296843,302158,343937,309994,257640,255613,284430
4504,45936,25739,27525,44723,63457,37099,39139,41162,31581,40033,34639,38907
4505,168334,165414,154035,160097,165163,168750,191198,191428,194190,199394,204590,211000
4601,97131,79579,45139,69593,78749,75989,87073,77166,76854,77035,75474,70891
4602,3218,2285,1133,1340,1537,1769,2228,1843,1453,1525,1612,1289
4603,27563,23537,17607,16572,15329,16377,21787,18528,15667,15306,16410,24698
4604,397177,336278,207675,269472,302199,302551,346239,337788,308851,330887,327264,264479
4701,1254,942,208,178,326,797,870,654,747,786,723,563
4702,151,37,5,,8,41,75,84,34,145,1299,1189
4703,1512,1082,513,686,1032,1366,980,1027,1035,1420,1534,836
4704,7616,5749,3377,4236,5403,5814,6466,5867,4660,5757,5580,3746
4801,2647442,2667545,2695432,2712330,2736130,2753631,2770782,2778389,2778973,2747980,2756469,2762791
4802,167857,135364,210397,134674,179954,213180,178237,178767,143266,177519,217615,180937
4803,229630,237175,262068,246610,226470,228396,245223,204904,266929,257317,252269,322935
4804,119179,96057,105464,98747,97349,105870,120827,106891,98509,112679,112942,108998
4805,10147,9406,15055,15942,13019,12497,9756,7728,10263,9532,9397,9375
