TCO_BTC,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
4806,58091,54003,54628,54185,56448,61755,40750,38253,38444,39158,38932,37049
4807,9441,7266,6280,6740,7723,8333,8436,7322,7379,7680,7591,7119
4808,78008,91754,113026,102216,105218,103954,61621,55834,60899,63283,65007,67692
4809,1010,871,808,869,1102,1160,1195,1025,1021,1106,1175,991
4810,73851,48999,44246,46860,53041,50697,54365,58424,45278,55216,53270,42330
4811,1079,245,126,180,522,992,279,504,170,649,793,260
4812,423412,367285,301815,309078,348704,359614,371980,362899,356001,355540,378242,329280
4813,85,53,48,74,72,58,64,51,61,49,133,60
4814,1277,492,317,357,2160,985,1366,424,371,375,345,426
4815,2269,2333,2370,2499,2415,2459,2647,2266,2412,2181,2185,2518
4816,20979,18015,14728,18562,20854,19927,21355,19600,18528,19799,19621,17039
4817,7255,7238,7087,7350,7423,7519,7682,7300,6945,7022,7485,6237
4818,6783,6488,5230,5507,6879,6800,6683,5550,6093,8066,7789,6233
4819,316695,315619,322423,329405,357327,393352,411120,389350,368669,435872,401841,384057
4820,312178,276913,278044,283064,312493,297523,300641,296238,281251,312690,285676,249584
4821,39409,32144,26726,23747,25723,25771,23669,24420,25493,23415,24483,22949
4822,12308,8201,6973,9867,14988,11908,12448,16627,10142,23113,22358,8489
4823,1069,763,100,185,655,413,561,653,203,535,751,304
4824,166,170,108,96,118,106,159,135,86,100,114,93
4825,22862,21775,24179,24633,30229,36587,38362,29379,22044,33360,26998,19014
4826,219309,199128,259277,266641,270345,215746,188469,183772,193358,241249,253368,206785
4827,58564,66725,82541,86692,89385,88430,84981,89933,97504,87746,87419,90071
4828,57751,52381,50804,53631,54420,60252,63937,68861,55518,50457,49686,49979
4829,46137,47210,50608,61939,72014,80323,79211,77522,79113,69333,63485,52816
4830,265508,181383,152759,174655,223767,205426,260825,258027,223180,275656,263698,206676
5101,418341,424844,419624,441247,438311,437570,460044,450785,471242,469542,466071,480842
5102,929600,951039,1015322,990971,1047545,1066493,1127198,1101802,1100902,1146958,1155169,1175757
5103,13,13,4,12,11,13,9,18,13,7,13,16
5201,794247,642122,547720,627572,635346,681730,752161,675844,688194,682302,681105,701873
5202,382199,307397,252799,280925,292561,300033,331105,310831,344347,330945,327686,316849
5203,544297,425045,345856,350845,348114,352139,396995,366727,454496,429320,413285,412808
5204,327761,303445,266419,305293,295863,287000,329600,301200,304795,280816,292650,313267
5205,166199,150567,143017,154266,159193,154857,170206,163567,178519,160099,165485,169814
5206,23863,20040,16938,19321,19334,17803,19739,18092,19300,18197,18449,21589
5207,66130,57253,50200,56116,56927,57574,64008,59209,63666,57751,58587,59732
5208,168230,154329,147203,166833,171643,169277,182457,179850,184465,155673,155139,158751
5209,121263,111826,100593,115328,113956,109922,123122,118097,125041,106613,107713,115564
5210,34100,32729,30875,33056,32562,32330,34979,34603,36522,30764,31059,33525
5211,335878,226227,153303,140994,147813,142776,149742,132123,186621,172666,188265,150846
5212,9969,8532,6794,7521,7519,7642,8977,8082,9308,8724,9001,9320
5213,84079,82749,90853,94106,90153,89480,101602,104333,105594,96378,91351,94070
5214,12513,9497,8141,9213,9589,9641,11191,10392,12831,13085,11348,10691
5215,40429,37495,35211,40373,39261,39432,45508,40825,45684,39606,41248,42065
5216,40106,40039,38877,41569,39220,39025,45169,41299,47321,40700,43246,46855
5217,241911,222837,203897,238143,235947,244241,278357,247892,263718,239202,250370,243621
5218,497,470,403,404,509,512,577,524,600,523,479,528
5219,285657,183388,99315,105768,148880,160705,163413,129720,143244,172570,208418,132199
5220,46776,43411,41638,48498,47568,49043,55166,49732,54324,47840,49347,49409
5221,10477,9754,8371,8764,8701,8875,9871,9316,10434,9464,9033,9338
5222,135957,121117,105417,125672,125298,127009,144497,135271,140363,126623,132715,130124
5301,184768,164063,145983,167185,162545,160298,180244,162090,173746,155542,161568,157762
5302,3132561,2924486,3418381,3434630,3220461,2834825,2677621,2418517,2553925,2370265,2451511,2396673
5303,4676,4697,4663,5019,4992,4630,4900,4629,4938,4550,4519,4767
5401,2197,2249,579,578,674,857,1099,1029,1152,1563,1156,871
5402,2954,2608,2115,2328,2568,2356,2350,2492,2214,2097,2200,2053
5403,2073,1673,1579,1605,1682,1620,1798,1653,1691,1644,1552,1559
5404,45082,45402,46120,47701,52276,39871,41871,39888,41577,39361,37884,36815
5405,575434,479410,483688,527948,556642,535547,548407,545402,526351,494891,509581,452108
5406,5975,4924,5366,5624,5825,5845,6148,6328,6059,5523,5998,5461
5407,25343,16015,12580,13776,14673,12575,13088,12419,9677,12852,12816,8125
5408,17822,15801,12841,15494,18582,18068,18764,17709,16116,16359,16402,14061
5409,19100,16090,14069,16681,21719,23631,24408,21682,18321,17265,17001,16381
5410,347665,187591,138850,139613,147045,115391,119824,107464,73067,123068,125488,68551
5411,599226,515016,468660,473269,500839,569596,513425,465180,497082,457104,460294,460390
5412,15814,14327,13057,14311,14844,14174,15718,13867,14129,14044,14048,13011
5413,1566,1227,994,1072,1274,1166,1226,1255,1224,1320,1365,1030
5501,32244,32124,27274,28383,28847,27647,29660,26693,27796,26132,25775,27298
6101,485547,307977,286122,407656,607319,595602,532976,453811,368294,530141,467896,332529
6102,13667,8634,8651,21397,29161,19042,15296,12119,13143,16201,14311,9370
6103,7615,5271,5598,14162,21131,13452,8938,5282,11381,13692,10904,6512
6104,59277,41761,41905,54263,78545,78205,65164,56300,48579,62365,63697,64531
6105,17324,15917,5394,11065,15372,9304,3706,2949,4457,6780,4177,4051
6106,601,449,387,487,692,593,655,524,452,586,709,517
6107,77658,56552,60079,82822,123016,101493,85555,74663,71290,115492,101112,71662
6108,3414,2699,2787,3705,4596,5462,4937,4319,3551,4201,3450,2769
6109,48852,31860,27385,40479,57308,62815,47614,32813,33392,45870,34341,28828
6201,12039,10403,9587,10686,12993,12007,12059,9814,9775,9814,9437,9646
6202,60024,40405,36141,43376,59074,57781,59900,58270,46833,55208,52834,41566
6203,119898,102496,92571,101596,115119,101967,104770,102727,93657,98824,97450,92131
6204,7561,5475,4856,6235,8875,8664,8381,7271,6244,7465,7410,5895
6205,1963,1495,1485,2008,3352,3212,2940,2113,1698,2537,2265,1547
6206,22817,16852,17432,24804,38910,36580,31785,25628,21413,29018,28047,22370
6207,2180,1173,1138,1615,2381,2337,1909,1637,1136,1747,2012,1545
6208,116807,107189,115125,126038,136290,129097,128865,126038,130196,125184,122086,115630
7101,2429,2318,2972,2635,2635,2906,2432,2157,2392,2352,2302,2292
7102,2604,2742,2612,2964,3050,3227,3121,3381,3477,3251,3501,3745
7103,812,758,700,807,837,863,864,879,791,719,750,790
7104,2138,2390,3219,3441,3620,3497,3587,3380,3977,3725,3368,3508
7105,2925,3923,10707,17838,19517,14966,12387,9400,14258,11916,6578,4274
7106,348,328,284,317,521,440,417,524,428,1043,948,421
7201,133650,123360,121114,129020,137926,133536,135935,142023,138716,131994,132426,141479
7202,59041,55724,58231,61667,67257,64899,64909,67019,67193,62854,63704,69581
7203,4814,4351,4558,5172,5719,5351,4675,5327,5452,5192,4888,4894
7204,17990,14731,17646,20459,20195,18857,11772,16544,20423,22948,17786,17323
7205,353773,279658,244462,281093,347184,357679,383529,352775,317916,363454,362881,285861
7206,1250,1293,1763,1856,2048,1944,1914,1775,2130,2008,1683,1814
7301,2613227,2196869,2136172,2116672,2160337,2227096,2366380,2491271,2275417,2371257,2330409,2269628
7302,602094,524572,498668,520366,551331,557413,585026,598520,538990,558659,552341,507659
7303,266771,285306,263556,289038,273890,263128,274653,273160,272363,264716,253921,273326
7304,3437,3488,3638,3504,3302,2994,2534,2552,2670,2756,2894,3517
7401,571,495,634,597,810,626,606,603,726,944,847,678
7402,294,317,365,410,385,463,432,484,494,528,529,633
8101,378796,371403,380373,409143,430707,452373,424775,442464,398790,397259,414086,422079
8102,14600,14566,14703,15105,15503,15734,16153,16464,16385,16600,16649,17131
8103,480,390,360,385,415,451,458,436,413,459,448,368
8104,43081,42997,42912,44405,46633,47795,50319,50978,52276,52333,51826,53373
8201,18679,16650,16054,19568,22215,25711,23289,18804,21661,24539,23503,24812
8202,8962,7524,6035,7502,10085,15357,11888,9136,9600,13535,13657,12768
8203,18945,17348,16914,17928,20147,22026,20434,19732,19133,18444,17804,17048
8204,290732,266627,258736,259544,266634,264616,271553,278568,262566,269173,265183,248176
8301,247298,245683,278778,286929,294768,296357,298679,299341,299889,303031,295532,309836
8302,26337,24277,25272,29659,32400,30399,30824,28692,29778,30496,31021,28336
8303,17380,15569,17357,22154,33491,31178,23021,19248,22263,24804,20835,19490
8304,5936,4006,3700,5007,6938,6157,7234,7024,5531,6817,6926,4621
8305,9881,10743,12562,13193,13997,13440,13192,13548,14592,12963,12631,13167
8306,5176,3661,4143,4736,5460,4647,5312,6343,4426,5069,4948,4255
8307,66619,70767,98022,130347,196585,77523,70246,53685,70539,77043,67214,58024
8308,262,282,206,250,266,276,311,353,373,312,290,308
8309,5868,5765,5451,5589,6066,6146,5571,6413,6148,6556,7302,9004
8310,9217,9036,9516,9659,9919,8998,9622,10055,10715,9870,10204,11450
8311,11734,12444,12400,13250,13332,14106,14275,14158,14181,13063,13980,14730
8312,46941,48676,55126,65752,76610,66105,63988,61816,55538,59871,51552,46218
8313,8265,7613,7372,9450,10345,9691,10455,9303,9111,9443,9495,8307
8314,1212,796,937,850,988,715,724,587,791,655,612,699
8315,661,571,478,523,592,614,506,492,529,525,489,482
8316,3732,4761,6990,7849,7778,7057,6308,6663,8702,7907,6378,5424
8317,3930,4295,4845,5075,5041,5205,5353,5277,5746,5289,5348,5446
8318,19359,22407,28166,29981,30311,29465,29104,31351,32914,30179,29722,30147
8319,38659,38366,42230,43438,46144,44709,47174,48959,55500,57196,55530,61632
8401,5422,5898,12533,15192,17646,13546,12492,14293,14155,12592,8578,6456
8402,6259,8133,22132,28437,32914,21815,19922,23505,21796,14725,9443,6694
9101,899,542,2401,2923,3826,4580,5388,5002,4372,4748,4972,3931
9106,200644,69479,62199,53111,50975,102219,236460,187054,213394,116180,63348,114124
9107,623317,596648,536629,526376,567370,627743,603393,609348,633628,600318,653902,623135
9110,526,160,68,81,87,75,120,66,44,16,14,13
9111,210373,217997,180945,158849,166202,173038,179557,175157,179448,182813,188427,181198
